Notes,Lab_Serology,Notes+Lab_Serology
2,1,10
0,0,0
1,7,7
1,1,6
0,1,1
0,1,1
0,0,0
1,4,9
1,5,11
1,7,7
0,1,1
0,0,0
1,1,6
0,3,3
1,3,3
0,6,4
3,2,15
0,4,9
0,9,5
1,10,14
1,6,4
0,0,0
0,1,1
2,1,10
3,4,9
0,0,0
4,0,0
2,8,13
1,2,15
0,0,0
1,2,15
1,5,11
1,1,6
0,5,11
0,0,0
0,5,11
1,4,9
0,3,4
4,10,14
1,1,6
1,2,15
2,1,10
0,1,1
2,0,16
3,6,4
0,0,0
4,9,5
2,3,3
2,4,9
6,0,0
1,7,7
5,2,8
0,9,5
0,10,14
0,11,5
0,3,3
0,9,5
0,0,0
0,9,5
1,4,12
0,11,5
1,7,7
6,0,0
6,1,1
1,0,2
1,0,2
0,8,13
1,1,6
6,8,13
0,4,17
1,3,3
0,1,5
0,1,1
0,1,1
1,6,4
0,5,11
0,8,13
0,0,0
4,3,4
1,6,4
0,1,1
0,0,0
0,1,1
1,4,9
0,0,0
0,4,12
1,1,6
0,4,12
0,0,0
0,0,0
0,6,4
0,9,5
4,4,9
1,6,4
0,1,1
0,2,8
3,1,10
0,6,4
0,0,0
0,2,8
1,4,9
0,2,8
2,1,10
0,4,9
1,4,9
0,8,13
0,8,13
5,2,8
0,5,11
1,1,6
0,6,4
0,3,3
0,0,0
0,3,3
1,9,5
1,0,2
1,0,2
1,6,4
2,0,16
0,9,5
4,10,14
0,0,0
3,5,11
5,0,0
3,2,8
1,6,4
1,0,2
6,3,3
0,0,0
0,2,8
1,10,14
0,6,4
1,10,14
1,1,6
2,2,8
6,1,1
2,1,10
1,0,2
2,1,10
1,11,5
0,0,0
1,10,14
1,2,12
2,0,16
0,6,4
1,1,6
2,4,9
1,4,9
0,0,0
0,5,11
0,0,0
1,3,3
1,0,2
1,5,11
1,1,6
1,4,9
0,1,1
4,5,11
1,5,11
1,1,6
0,0,0
1,0,2
1,2,12
0,8,13
1,7,7
3,3,3
1,7,7
0,6,4
0,0,0
3,0,18
0,4,9
0,1,1
2,3,5
4,1,10
0,0,0
0,3,4
1,7,7
4,3,3
4,5,17
1,2,12
4,3,3
1,0,2
1,7,7
1,2,15
0,4,17
0,0,0
0,2,8
1,4,9
1,0,2
0,0,0
1,5,11
1,4,9
6,2,8
1,0,2
1,6,4
0,0,0
2,0,16
0,3,5
0,5,11
1,9,5
0,0,0
0,9,5
1,7,7
0,3,3
0,11,5
1,4,12
2,8,13
1,1,6
1,3,3
1,2,15
1,5,11
0,10,14
2,0,16
1,3,3
0,2,8
0,6,4
3,0,18
0,8,13
0,3,3
1,7,7
1,2,15
0,3,3
1,10,14
1,7,7
0,0,0
1,2,15
1,0,2
4,8,13
2,3,3
0,1,1
0,0,0
1,6,4
2,0,16
2,0,16
0,1,1
1,5,11
1,1,6
2,2,8
0,2,8
5,0,16
0,2,8
0,5,17
1,2,15
1,7,7
2,1,10
3,5,12
0,11,5
2,1,10
2,3,3
2,1,10
1,4,12
2,0,16
4,7,7
0,3,3
0,1,1
4,4,9
2,0,16
0,9,5
2,0,16
0,0,0
1,0,2
0,2,8
0,5,17
1,1,6
1,1,6
0,2,8
0,2,8
0,1,1
0,0,0
0,6,4
0,5,11
4,6,4
1,11,5
3,7,7
0,0,0
1,0,2
0,2,8
1,0,2
0,0,0
1,3,3
0,1,1
0,1,1
1,1,6
