Notes,Mannequin_Num,Notes+Mannequin_Num
2,1,1
0,1,6
1,3,2
1,3,2
0,6,4
0,2,9
0,9,5
1,0,16
1,7,3
1,8,2
0,0,0
0,0,0
1,1,14
0,2,9
1,1,14
0,6,4
3,1,1
0,0,0
0,10,6
1,1,10
1,6,4
0,0,0
0,1,1
2,10,10
3,10,6
0,6,8
4,10,6
2,8,17
1,10,10
0,6,4
1,2,7
1,1,10
1,4,12
0,2,9
0,2,9
0,2,9
1,2,7
0,0,0
4,6,4
1,4,12
1,10,10
2,9,5
0,0,0
2,0,0
3,2,7
0,7,3
4,4,12
2,2,7
2,4,12
6,0,6
1,8,2
5,2,9
0,5,13
0,10,6
0,2,9
0,4,18
0,1,1
0,3,8
0,4,18
1,1,14
0,2,9
1,2,7
6,6,4
6,0,16
1,8,2
1,4,12
0,5,13
1,0,16
6,0,6
0,4,18
1,2,7
0,8,17
0,4,18
0,1,1
1,10,10
0,10,6
0,0,0
0,0,0
4,0,0
1,0,1
0,3,8
0,5,13
0,2,9
1,2,7
0,1,1
0,6,4
1,2,7
0,1,1
0,3,8
0,12,13
0,3,8
0,1,1
4,8,17
1,2,7
0,4,18
0,7,3
3,9,5
0,2,9
0,1,6
0,7,18
1,8,2
0,5,13
2,3,8
0,9,5
1,1,10
0,5,13
0,7,3
5,7,3
0,2,9
1,5,11
0,5,13
0,1,1
0,1,6
0,10,6
1,0,16
1,0,16
1,11,15
1,7,3
2,3,2
0,6,8
4,5,11
0,2,9
3,4,18
5,9,5
3,4,3
1,5,11
1,2,7
6,2,9
0,7,3
0,0,1
1,12,15
0,0,0
1,10,10
1,6,4
1,4,12
6,5,11
2,1,1
1,0,16
2,1,1
2,6,4
0,9,5
1,2,7
1,2,7
2,10,10
0,5,13
1,2,7
1,4,12
1,3,2
0,0,0
0,5,13
0,0,1
1,2,7
1,4,12
1,2,7
1,11,15
1,8,2
0,7,3
4,8,17
1,10,10
1,2,7
0,0,0
1,12,15
1,0,16
0,0,0
1,4,12
3,6,4
1,6,4
0,10,6
0,10,1
3,3,8
0,9,5
0,2,9
2,6,4
4,0,0
0,6,4
0,3,8
1,2,7
4,9,5
4,4,3
1,5,11
4,7,12
1,3,2
1,10,10
1,2,7
0,6,4
0,0,0
0,11,13
1,2,7
1,3,2
0,6,4
1,9,5
1,0,16
6,12,15
1,4,12
1,1,10
0,7,3
2,4,12
0,1,6
0,0,1
1,3,2
0,7,3
0,0,0
1,11,15
0,10,6
0,1,6
1,3,2
2,0,0
1,9,5
1,3,7
1,5,11
1,0,16
0,6,4
2,2,7
1,7,3
0,5,13
0,7,3
3,2,7
0,1,1
0,5,13
1,12,15
1,1,10
0,4,18
1,8,2
1,6,4
0,5,13
1,3,2
1,6,4
4,4,12
2,1,1
0,5,13
0,1,6
1,4,12
2,0,0
2,8,11
0,4,18
1,1,14
1,4,12
2,2,7
0,0,1
5,4,12
0,0,0
0,4,18
1,2,7
1,7,3
2,9,5
3,12,15
0,7,3
1,6,4
2,6,4
2,1,10
1,10,10
2,1,1
4,5,11
0,1,1
0,7,3
4,0,0
2,9,5
0,6,4
2,1,10
0,6,4
1,5,11
0,10,6
0,3,8
1,5,11
1,10,10
0,4,18
0,1,1
0,2,9
0,1,1
0,3,8
0,11,13
4,0,0
1,5,11
3,2,7
0,0,0
1,1,14
0,5,13
1,0,16
0,0,1
1,6,4
0,1,6
0,8,17
1,6,4
0,7,3
2,2,7
4,2,9
1,5,11
4,2,9
6,8,2
1,0,16
1,0,16
0,6,4
4,2,9
1,5,11
2,10,10
1,6,4
1,4,12
0,1,1
1,1,14
0,9,5
0,5,13
5,7,3
1,12,15
0,3,8
0,0,1
4,4,12
0,0,0
1,1,14
0,7,3
0,2,9
1,0,16
0,11,13
0,11,13
4,10,6
0,9,5
0,3,8
1,7,3
5,0,0
1,5,11
6,9,5
5,1,14
2,5,11
0,5,13
1,4,12
1,5,11
0,0,0
6,1,14
1,3,2
0,6,4
3,0,0
0,2,9
0,1,6
0,0,0
1,7,3
1,9,5
0,1,6
0,9,5
0,7,3
2,7,3
3,7,3
1,1,10
0,5,13
1,6,8
0,2,9
0,0,0
0,1,1
0,0,0
0,6,4
3,6,4
0,1,1
1,11,15
0,1,1
0,6,4
1,0,16
1,4,12
0,4,3
0,12,13
1,0,16
3,0,1
0,0,0
0,8,17
0,3,8
0,2,9
0,0,1
0,8,17
5,7,3
2,1,1
1,2,7
1,10,10
0,4,18
1,2,7
0,6,4
4,1,6
1,4,3
1,3,2
1,10,10
0,12,13
1,9,5
1,4,12
2,12,15
1,10,10
2,3,2
0,3,8
0,8,17
1,7,12
0,1,6
0,8,17
0,8,17
1,1,14
3,0,0
0,2,9
4,0,0
3,9,5
0,0,0
1,6,4
2,3,2
1,7,3
0,3,8
0,1,1
1,1,10
2,0,1
1,8,2
1,4,12
0,4,18
1,4,12
1,2,7
1,1,10
4,6,4
0,0,0
0,8,17
1,1,14
4,1,14
4,2,9
1,1,14
1,8,2
4,5,11
0,3,8
0,12,13
0,10,6
4,12,15
4,10,6
2,0,0
1,3,2
1,11,15
1,7,3
0,6,4
0,6,4
0,4,18
0,0,0
2,4,3
0,1,1
0,0,0
0,2,9
3,9,5
1,1,10
1,0,16
1,5,11
0,4,18
1,4,12
1,0,16
0,4,18
0,3,8
0,3,6
1,1,14
0,1,1
1,5,11
6,3,2
1,6,4
1,1,10
1,1,10
0,0,1
0,4,18
0,5,13
0,10,6
1,5,11
0,2,9
0,0,1
1,3,2
3,3,8
1,4,12
1,8,2
0,2,9
0,8,17
0,1,6
1,4,12
0,2,9
0,9,5
1,0,6
0,1,1
0,2,9
0,2,9
1,0,16
5,0,0
2,1,10
1,5,11
1,0,1
0,5,13
0,1,1
0,4,18
2,11,11
1,7,3
1,3,2
0,8,17
4,7,3
1,0,16
5,5,11
5,5,11
0,0,1
4,3,2
0,6,4
6,1,10
0,9,5
0,7,3
0,1,1
0,6,4
0,9,5
3,7,3
1,0,1
4,6,4
1,2,7
4,11,6
0,8,17
3,12,15
0,6,4
1,12,15
0,3,8
0,7,3
1,4,12
4,4,12
0,0,0
1,9,5
0,3,8
1,5,11
1,6,4
0,3,8
2,0,1
1,3,2
1,10,6
0,0,0
0,0,0
1,0,1
1,11,15
1,4,12
1,7,3
0,0,0
0,1,6
0,9,5
1,7,3
2,2,7
0,1,1
0,10,6
3,7,3
2,5,11
0,4,18
0,7,3
1,1,14
1,7,3
6,12,15
0,0,0
2,1,1
1,1,14
4,0,0
1,11,15
1,4,12
3,6,4
5,1,1
0,3,8
0,2,9
2,0,0
0,3,7
1,10,10
0,5,13
2,10,10
0,6,2
0,2,9
0,8,17
1,2,7
4,1,14
6,9,5
0,0,0
1,10,10
0,8,17
0,5,13
1,8,2
1,11,15
1,6,4
0,6,4
0,1,1
0,6,4
1,2,7
4,10,6
1,10,10
1,9,5
1,1,10
0,1,1
0,1,1
2,1,1
1,1,14
0,0,1
1,8,2
1,2,7
1,12,15
4,1,14
1,5,11
1,3,2
0,10,6
0,8,17
0,2,9
6,1,14
1,0,16
0,2,9
0,1,1
3,10,6
0,1,6
2,0,0
0,7,3
1,9,5
0,0,0
1,4,12
4,0,0
5,3,8
0,2,9
1,2,7
0,3,8
5,4,12
1,8,2
1,2,7
3,7,3
1,10,10
1,3,2
3,10,6
2,5,11
1,3,2
3,6,4
1,3,2
2,8,17
3,7,3
3,3,8
1,4,12
3,1,6
3,4,18
1,9,2
1,9,5
0,0,0
6,0,16
1,1,14
1,3,2
1,4,12
2,0,0
6,0,14
0,5,13
0,10,6
0,0,0
5,0,0
4,11,6
0,1,1
2,1,10
2,0,0
1,12,15
0,0,0
0,0,0
1,3,2
0,8,17
1,7,3
0,8,17
0,2,9
0,3,4
0,6,4
1,0,16
5,4,12
2,2,7
0,0,0
5,0,0
1,0,16
1,0,16
0,8,17
1,1,14
0,0,0
0,1,14
0,6,4
2,5,11
0,0,0
0,1,1
1,8,2
2,12,15
2,6,4
1,9,5
4,1,14
0,11,13
0,1,8
4,3,8
4,1,6
0,0,0
3,5,13
2,1,1
5,2,9
1,9,5
0,7,3
1,12,15
0,1,1
5,2,9
0,0,0
1,11,15
4,7,3
6,12,15
0,3,8
0,1,6
0,3,6
1,7,3
0,7,3
0,3,8
0,7,3
1,0,16
0,1,1
0,3,8
6,8,2
0,1,1
2,7,3
0,3,8
1,0,16
0,9,5
0,7,3
1,12,15
0,4,5
1,7,3
5,0,0
1,0,16
1,5,11
0,3,8
1,3,2
3,5,13
0,1,6
6,7,3
2,1,10
1,4,12
3,8,17
6,1,10
0,0,0
3,8,17
1,0,6
0,0,0
6,1,10
0,0,0
0,8,17
0,1,1
0,6,4
0,0,0
1,6,4
1,3,2
0,2,9
0,10,6
1,11,15
1,3,2
1,2,7
0,9,5
0,0,1
0,10,6
0,0,0
1,0,16
0,1,1
0,2,9
1,1,14
1,2,7
0,7,3
1,5,11
0,11,13
6,0,16
3,2,7
3,3,8
0,1,6
0,9,5
1,8,2
0,5,13
0,3,7
1,2,7
1,7,3
0,4,18
1,2,7
2,6,4
0,1,1
0,9,5
1,2,7
0,6,4
1,11,15
0,0,0
0,2,9
1,11,15
0,8,17
2,7,3
0,0,0
1,3,2
5,1,14
0,9,5
1,2,7
3,4,12
1,7,12
